Epoch: [1][210/677]	Time 0.005 (0.014)	Data 0.001 (0.011)	Loss 5.5454 (5.5453)	Prec@all 36.719 (37.680)
Epoch: [1][220/677]	Time 0.015 (0.014)	Data 0.012 (0.011)	Loss 5.5447 (5.5453)	Prec@all 35.938 (37.576)
Epoch: [1][230/677]	Time 0.008 (0.014)	Data 0.004 (0.011)	Loss 5.5447 (5.5453)	Prec@all 35.938 (37.448)
Epoch: [1][240/677]	Time 0.004 (0.014)	Data 0.001 (0.011)	Loss 5.5466 (5.5453)	Prec@all 31.641 (37.361)
Epoch: [1][250/677]	Time 0.011 (0.014)	Data 0.008 (0.011)	Loss 5.5453 (5.5453)	Prec@all 36.328 (37.316)
Epoch: [1][260/677]	Time 0.006 (0.014)	Data 0.003 (0.011)	Loss 5.5450 (5.5453)	Prec@all 40.625 (37.323)
Epoch: [1][270/677]	Time 0.010 (0.014)	Data 0.007 (0.011)	Loss 5.5455 (5.5453)	Prec@all 33.984 (37.308)
Epoch: [1][280/677]	Time 0.007 (0.014)	Data 0.004 (0.011)	Loss 5.5455 (5.5453)	Prec@all 33.594 (37.215)
Epoch: [1][290/677]	Time 0.006 (0.014)	Data 0.003 (0.011)	Loss 5.5452 (5.5453)	Prec@all 36.719 (37.113)
Epoch: [1][300/677]	Time 0.006 (0.014)	Data 0.003 (0.011)	Loss 5.5452 (5.5453)	Prec@all 40.625 (37.104)
Epoch: [1][310/677]	Time 0.017 (0.014)	Data 0.014 (0.011)	Loss 5.5454 (5.5453)	Prec@all 35.547 (37.108)
Epoch: [1][320/677]	Time 0.011 (0.014)	Data 0.008 (0.011)	Loss 5.5446 (5.5453)	Prec@all 38.672 (37.084)
Epoch: [1][330/677]	Time 0.019 (0.014)	Data 0.015 (0.011)	Loss 5.5448 (5.5453)	Prec@all 36.719 (37.048)
Epoch: [1][340/677]	Time 0.029 (0.014)	Data 0.025 (0.011)	Loss 5.5446 (5.5453)	Prec@all 38.281 (37.075)
Epoch: [1][350/677]	Time 0.014 (0.014)	Data 0.011 (0.011)	Loss 5.5449 (5.5453)	Prec@all 35.938 (37.076)
Epoch: [1][360/677]	Time 0.037 (0.014)	Data 0.034 (0.011)	Loss 5.5450 (5.5453)	Prec@all 42.578 (37.082)
Epoch: [1][370/677]	Time 0.005 (0.014)	Data 0.001 (0.011)	Loss 5.5452 (5.5453)	Prec@all 37.109 (37.089)
Epoch: [1][380/677]	Time 0.034 (0.014)	Data 0.031 (0.011)	Loss 5.5451 (5.5453)	Prec@all 37.500 (37.117)
Epoch: [1][390/677]	Time 0.007 (0.014)	Data 0.003 (0.010)	Loss 5.5446 (5.5453)	Prec@all 37.500 (37.107)
Epoch: [1][400/677]	Time 0.025 (0.014)	Data 0.022 (0.010)	Loss 5.5450 (5.5453)	Prec@all 35.938 (37.051)
Epoch: [1][410/677]	Time 0.004 (0.014)	Data 0.001 (0.010)	Loss 5.5448 (5.5453)	Prec@all 39.062 (37.030)
Epoch: [1][420/677]	Time 0.003 (0.014)	Data 0.000 (0.010)	Loss 5.5450 (5.5453)	Prec@all 37.500 (37.033)
